HIP,HD,ra (deg),dec (deg),V mag ,Mv =V + 5log (parallax in mas) -10,parallax in mas,std error on parallax,relative precision of distance,total proper motion (mas/yr),pm in ra (mas/yr),pm in dec (mas/yr),transverse velocity (km/s),in CNS3,Name
26634,37795,84.912,-34.074,2.65,-1.93,12.16,0.6,0.049,24.05,-0.1,-24.05,9.38,,alpha_Col
6686,8538,21.453,60.235,2.66,0.24,32.81,0.62,0.019,301.33,297.24,-49.49,43.54,,delta_Cas
67927,121370,208.671,18.399,2.68,2.41,88.17,0.75,0.009,363.25,-60.95,-358.1,19.53,*,eta_Boo
73273,132058,224.633,-43.134,2.68,-3.35,6.23,0.71,0.114,51.25,-34.06,-38.3,39,,beta_Lup
52727,93497,161.692,-49.42,2.69,-0.06,28.18,0.49,0.017,82.35,62.55,-53.57,13.85,,mu_Vel
61585,109668,189.296,-69.136,2.69,-2.17,10.67,0.48,0.045,41.77,-39.87,-12.44,18.56,,alpha_Mus
23015,31398,74.248,33.166,2.69,-3.29,6.37,0.96,0.151,18.89,3.63,-18.54,14.06,,iota_Aur
85696,158408,262.691,-37.296,2.7,-3.31,6.29,0.81,0.129,29.44,-4.19,-29.14,22.19,,nu_Sco
35264,56855,109.286,-37.097,2.71,-4.92,2.98,0.55,0.185,12.68,-10.57,7,20.17,,pi_Pup
97278,186791,296.565,10.613,2.72,-3.03,7.08,0.75,0.106,16.02,15.72,-3.08,10.73,,gamma_Aql (Tarazed)
89931,168454,275.248,-29.828,2.72,-2.14,10.67,0.93,0.087,39.92,29.96,-26.38,17.74,,delta_Sgr
80331,148387,245.998,61.514,2.73,0.58,37.18,0.45,0.012,59.17,-16.98,56.68,7.54,*,eta_Dra
79593,146051,243.587,-3.694,2.73,-0.86,19.16,1.02,0.053,150.08,-45.83,-142.91,37.13,,delta_Oph
61941,110379,190.417,-1.45,2.74,2.38,84.53,1.18,0.014,619.64,-616.66,60.66,34.75,*,gamma_Vir
52419,93030,160.739,-64.394,2.74,-2.91,7.43,0.5,0.067,22.39,-18.87,12.06,14.29,,theta_Car
72622,130841,222.72,-16.042,2.75,0.88,42.25,1.05,0.025,126.22,-105.69,-69,14.16,*,alpha1_Lib
65109,115892,200.15,-36.712,2.75,1.48,55.64,0.74,0.013,351.93,-340.76,-87.98,29.98,*,iota_Cen
26241,37043,83.858,-5.91,2.75,-5.3,2.46,0.77,0.313,2.35,2.27,-0.62,4.53,,iotaOri
86742,161096,265.868,4.567,2.76,0.76,39.78,0.75,0.019,163.93,-40.67,158.8,19.53,,beta_Oph
23875,33111,76.963,-5.086,2.78,0.6,36.71,0.76,0.021,112.45,-83.39,-75.44,14.52,*,beta_Eri
80816,148856,247.555,21.49,2.78,-0.5,22.07,1,0.045,99.49,-98.43,-14.49,21.37,,beta_Her
84345,156014,258.662,14.39,2.78,-2.57,8.53,2.8,0.328,33.46,-6.71,32.78,18.59,,alpha1/2_Her (Rasalgethi)
59747,106490,183.786,-58.749,2.79,-2.45,8.96,0.6,0.067,38.21,-36.68,-10.72,20.22,,delta_Cru
85670,159181,262.608,52.301,2.79,-2.43,9.02,0.49,0.054,19.41,-15.59,11.57,10.2,,beta_Dra
76297,138690,233.785,-41.167,2.8,-3.4,5.75,1.24,0.216,30.15,-16.05,-25.52,24.85,,gamma_Lup
81693,150680,250.323,31.602,2.81,2.64,92.63,0.6,0.006,577.1,-462.58,345.05,29.53,*,zeta_Her
25606,36079,82.061,-20.759,2.81,-0.63,20.49,0.85,0.041,86.07,-5.03,-85.92,19.91,,beta_Lep (Nihal)
81266,149438,248.971,-28.216,2.82,-2.78,7.59,0.78,0.103,24.08,-8.59,-22.5,15.04,,tau_Sco
2021,2151,6.413,-77.255,2.82,3.45,133.78,0.51,0.004,2243.69,2220.12,324.37,79.5,*,beta_Hyi
90496,169916,276.993,-25.421,2.82,0.95,42.2,0.9,0.021,191.6,-44.81,-186.29,21.52,*,lambda_Sgr
1067,886,3.309,15.184,2.83,-2.22,9.79,0.81,0.083,9.49,4.7,-8.24,4.59,,gamma_Peg (Algenib)
39757,67523,121.886,-24.304,2.83,1.41,51.99,0.66,0.013,95.33,-83.29,46.38,8.69,,rho_Pup
77952,141891,238.787,-63.43,2.83,2.38,81.24,0.62,0.008,443.91,-188.45,-401.92,25.9,*,beta_TrA
85258,157244,261.325,-55.53,2.84,-3.49,5.41,0.76,0.14,26.04,-8.23,-24.71,22.82,,beta_Ara
85792,158427,262.961,-49.876,2.84,-1.51,13.46,0.95,0.071,74.07,-31.27,-67.15,26.09,,alpha_Ara
18246,24398,58.533,31.884,2.84,-4.55,3.32,0.75,0.226,10.16,4.41,-9.15,14.5,,zeta_Per
107556,207098,326.76,-16.127,2.85,2.49,84.58,0.88,0.01,396.31,263.26,-296.23,22.21,*,delta_Cap
63608,113226,195.545,10.959,2.85,0.37,31.9,0.87,0.027,275.77,-275.05,19.96,40.98,,epsilon_Vir (Vindemiatrix)
17702,23630,56.871,24.105,2.85,-2.41,8.87,0.99,0.112,47.25,19.35,-43.11,25.25,,eta_Tau (Alcyone)
9236,12311,29.691,-61.57,2.86,1.16,45.74,0.55,0.012,263.91,262.54,26.88,27.35,*,alpha_Hyi
97165,186882,296.244,45.131,2.86,-0.74,19.07,0.45,0.024,64.92,43.22,48.44,16.14,,delta_Cyg
110130,211416,334.626,-60.259,2.87,-1.05,16.42,0.59,0.036,81.02,-71.48,-38.15,23.39,,alpha_Tuc
